sample_id,name,shape,dtype,size,finite_count,nan_count,posinf_count,neginf_count,min,max,mean,std,negative_count,above_one_count,at_or_below_zero_count,at_or_above_one_count
IMG_0342_converted,cpu_rgb_in,96x128x3,float64,36864,36864,0,0,0,0.0014710782866405765,0.9574535676905866,0.04874026785981281,0.07981771610671648,0,0,0,0
IMG_0342_converted,cpu_rgb_pre,96x128x3,float64,36864,36864,0,0,0,0.0014710782866405765,0.9574535676905866,0.04874026785981281,0.07981771610671648,0,0,0,0
IMG_0342_converted,cpu_log_e_film,96x128x3,float64,36864,36864,0,0,0,-2.104857198814138,0.7258064884440308,-0.7813895306105478,0.4192357293679538,35993,0,35993,0
IMG_0342_converted,cpu_cmy_film,96x128x3,float64,36864,36864,0,0,0,0.001989061952696036,1.2151343503349534,0.34686387483349806,0.1921311299323299,0,266,0,266
IMG_0342_converted,cpu_log_e_print,96x128x3,float64,36864,36864,0,0,0,-0.4318403676661089,0.8566567185164968,0.44322802200617584,0.21221261192351926,899,0,899,0
IMG_0342_converted,cpu_cmy_print,96x128x3,float64,36864,36864,0,0,0,0.05381737093209439,2.4668303880994817,1.7107099945181252,0.43029958337330115,0,34375,0,34375
IMG_0342_converted,cpu_rgb_out,96x128x3,float64,36864,36864,0,0,0,0.028544066270759078,0.8904131201433793,0.12960047911058414,0.10504812010188053,0,0,0,0
IMG_0342_converted,cpu_materialized_rgb_out,96x128x3,float64,36864,36864,0,0,0,0.028544066270759078,0.8904131201433793,0.12960047911058414,0.10504812010188053,0,0,0,0
IMG_0342_converted,mlx_rgb_in,96x128x3,float32,36864,36864,0,0,0,0.0014710782561451197,0.9574535489082336,0.048740264028310776,0.07981771230697632,0,0,0,0
IMG_0342_converted,mlx_rgb_pre,96x128x3,float32,36864,36864,0,0,0,0.0014710782561451197,0.9574535489082336,0.048740264028310776,0.07981771230697632,0,0,0,0
IMG_0342_converted,mlx_log_e_film,96x128x3,float32,36864,36864,0,0,0,-2.1048572063446045,0.7258065342903137,-0.7813895344734192,0.4192357361316681,35993,0,35993,0
IMG_0342_converted,mlx_cmy_film,96x128x3,float32,36864,36864,0,0,0,0.0019890614785254,1.2151343822479248,0.34686386585235596,0.1921311318874359,0,266,0,266
IMG_0342_converted,mlx_log_e_print,96x128x3,float32,36864,36864,0,0,0,-0.4318443238735199,0.8566712141036987,0.443229079246521,0.212213933467865,899,0,899,0
IMG_0342_converted,mlx_cmy_print,96x128x3,float32,36864,36864,0,0,0,0.053815484046936035,2.4668328762054443,1.7107110023498535,0.4303002655506134,0,34375,0,34375
IMG_0342_converted,mlx_rgb_out,96x128x3,float32,36864,36864,0,0,0,0.028547991067171097,0.890453577041626,0.12960036098957062,0.10504753887653351,0,0,0,0
IMG_0342_converted,mlx_materialized_rgb_out,96x128x3,float32,36864,36864,0,0,0,0.028547991067171097,0.890453577041626,0.12960036098957062,0.10504753887653351,0,0,0,0
IMG20260603204611.,decoded_or_synthetic_source,128x96x3,float64,36864,36864,0,0,0,0.00027164873577608317,1.0166092611551283,0.12320152202586981,0.1908163899668701,0,177,0,177
IMG20260603204611.,cpu_gui_prepared_input,128x96x3,float64,36864,36864,0,0,0,0.00027164873577608317,1.0166092611551283,0.12320152202586981,0.1908163899668701,0,177,0,177
IMG20260603204611.,mlx_gui_prepared_input,128x96x3,float32,36864,36864,0,0,0,0.00027164872153662145,1.0166093111038208,0.12320151925086975,0.19081640243530273,0,177,0,177
IMG20260603204611.,cpu_rgb_in,128x96x3,float64,36864,36864,0,0,0,0.00027164873577608317,1.0166092611551283,0.12320152202586981,0.1908163899668701,0,177,0,177
IMG20260603204611.,cpu_rgb_pre,128x96x3,float64,36864,36864,0,0,0,0.00027164873577608317,1.0166092611551283,0.12320152202586981,0.1908163899668701,0,177,0,177
IMG20260603204611.,cpu_log_e_film,128x96x3,float64,36864,36864,0,0,0,-2.8651045984358974,0.7788388615535656,-0.621013963682915,0.6655745147985179,29560,0,29560,0
IMG20260603204611.,cpu_cmy_film,128x96x3,float64,36864,36864,0,0,0,0.0005866506792051145,1.2065339918675317,0.4342328422183026,0.31253183552561364,0,1676,0,1676
IMG20260603204611.,cpu_log_e_print,128x96x3,float64,36864,36864,0,0,0,-0.45923194489769636,0.861588031454446,0.3479492019236,0.346448192612985,7024,0,7024,0
IMG20260603204611.,cpu_cmy_print,128x96x3,float64,36864,36864,0,0,0,0.041794757429960985,2.46704654967764,1.419920119205447,0.7158255559313803,0,25651,0,25651
IMG20260603204611.,cpu_rgb_out,128x96x3,float64,36864,36864,0,0,0,0.02720077873365414,0.8706954661524616,0.24184635121889045,0.2325393333444265,0,0,0,0
IMG20260603204611.,cpu_materialized_rgb_out,128x96x3,float64,36864,36864,0,0,0,0.02720077873365414,0.8706954661524616,0.24184635121889045,0.2325393333444265,0,0,0,0
IMG20260603204611.,mlx_rgb_in,128x96x3,float32,36864,36864,0,0,0,0.00027164872153662145,1.0166093111038208,0.12320151925086975,0.19081640243530273,0,177,0,177
IMG20260603204611.,mlx_rgb_pre,128x96x3,float32,36864,36864,0,0,0,0.00027164872153662145,1.0166093111038208,0.12320151925086975,0.19081640243530273,0,177,0,177
IMG20260603204611.,mlx_log_e_film,128x96x3,float32,36864,36864,0,0,0,-2.8651044368743896,0.7788387537002563,-0.6210139393806458,0.6655745506286621,29560,0,29560,0
IMG20260603204611.,mlx_cmy_film,128x96x3,float32,36864,36864,0,0,0,0.0005866506835445762,1.2065339088439941,0.4342328608036041,0.31253185868263245,0,1676,0,1676
IMG20260603204611.,mlx_log_e_print,128x96x3,float32,36864,36864,0,0,0,-0.45922815799713135,0.8616021275520325,0.3479505777359009,0.3464494049549103,7024,0,7024,0
IMG20260603204611.,mlx_cmy_print,128x96x3,float32,36864,36864,0,0,0,0.0417962409555912,2.4670491218566895,1.4199210405349731,0.7158254384994507,0,25651,0,25651
IMG20260603204611.,mlx_rgb_out,128x96x3,float32,36864,36864,0,0,0,0.027190562337636948,0.8707625269889832,0.24184685945510864,0.232539564371109,0,0,0,0
IMG20260603204611.,mlx_materialized_rgb_out,128x96x3,float32,36864,36864,0,0,0,0.027190562337636948,0.8707625269889832,0.24184685945510864,0.232539564371109,0,0,0,0
IMG_9333,decoded_or_synthetic_source,95x126x3,float64,35910,35910,0,0,0,-1.057178682271835e-05,1.0008451968748457,0.026502680606000487,0.0682214709959853,101,5,104,5
IMG_9333,cpu_gui_prepared_input,95x126x3,float64,35910,35910,0,0,0,-1.057178682271835e-05,1.0008451968748457,0.026502680606000487,0.0682214709959853,101,5,104,5
IMG_9333,mlx_gui_prepared_input,95x126x3,float32,35910,35910,0,0,0,-1.0571787242952269e-05,1.000845193862915,0.026502681896090508,0.06822147220373154,101,5,104,5
IMG_9333,cpu_rgb_in,95x126x3,float64,35910,35910,0,0,0,-1.057178682271835e-05,1.0008451968748457,0.026502680606000487,0.0682214709959853,101,5,104,5
IMG_9333,cpu_rgb_pre,95x126x3,float64,35910,35910,0,0,0,-1.057178682271835e-05,1.0008451968748457,0.026502680606000487,0.0682214709959853,101,5,104,5
IMG_9333,cpu_log_e_film,95x126x3,float64,35910,35910,0,0,0,-10.0,0.7450018166345407,-1.3093396624288451,0.5695563344273731,34600,0,34600,0
IMG_9333,cpu_cmy_film,95x126x3,float64,35910,35910,0,0,0,0.0,1.2324261870352573,0.14927323137498352,0.20081848354685417,0,82,208,82
IMG_9333,cpu_log_e_print,95x126x3,float64,35910,35910,0,0,0,-0.44984170965108305,0.8623313153119604,0.6638956814262087,0.22321207009527685,1288,0,1288,0
IMG_9333,cpu_cmy_print,95x126x3,float64,35910,35910,0,0,0,0.049416208535016104,2.467151095916245,1.959764944362127,0.45953909827701295,0,33745,0,33745
IMG_9333,cpu_rgb_out,95x126x3,float64,35910,35910,0,0,0,0.03804402458934143,0.8334280540771212,0.09880453913699538,0.1144730299459592,0,0,0,0
IMG_9333,cpu_materialized_rgb_out,95x126x3,float64,35910,35910,0,0,0,0.03804402458934143,0.8334280540771212,0.09880453913699538,0.1144730299459592,0,0,0,0
IMG_9333,mlx_rgb_in,95x126x3,float32,35910,35910,0,0,0,-1.0571787242952269e-05,1.000845193862915,0.026502681896090508,0.06822147220373154,101,5,104,5
IMG_9333,mlx_rgb_pre,95x126x3,float32,35910,35910,0,0,0,-1.0571787242952269e-05,1.000845193862915,0.026502681896090508,0.06822147220373154,101,5,104,5
IMG_9333,mlx_log_e_film,95x126x3,float32,35910,35910,0,0,0,-10.0,0.7450019121170044,-1.3093397617340088,0.5695563554763794,34600,0,34600,0
IMG_9333,mlx_cmy_film,95x126x3,float32,35910,35910,0,0,0,0.0,1.2324262857437134,0.14927323162555695,0.2008184939622879,0,82,208,82
IMG_9333,mlx_log_e_print,95x126x3,float32,35910,35910,0,0,0,-0.4498414397239685,0.8623451590538025,0.6638992428779602,0.2232142686843872,1288,0,1288,0
IMG_9333,mlx_cmy_print,95x126x3,float32,35910,35910,0,0,0,0.04941846802830696,2.467153549194336,1.9597657918930054,0.459539532661438,0,33745,0,33745
IMG_9333,mlx_rgb_out,95x126x3,float32,35910,35910,0,0,0,0.03804148733615875,0.8333824872970581,0.0988060012459755,0.11447262018918991,0,0,0,0
IMG_9333,mlx_materialized_rgb_out,95x126x3,float32,35910,35910,0,0,0,0.03804148733615875,0.8333824872970581,0.0988060012459755,0.11447262018918991,0,0,0,0
IMG_2972,decoded_or_synthetic_source,126x95x3,float64,35910,35910,0,0,0,6.0354759362193655e-05,0.9178863712963815,0.1546780769418551,0.21440573725741044,0,0,0,0
IMG_2972,cpu_gui_prepared_input,126x95x3,float64,35910,35910,0,0,0,6.0354759362193655e-05,0.9178863712963815,0.1546780769418551,0.21440573725741044,0,0,0,0
IMG_2972,mlx_gui_prepared_input,126x95x3,float32,35910,35910,0,0,0,6.0354759625624865e-05,0.9178863763809204,0.1546780914068222,0.21440574526786804,0,0,0,0
IMG_2972,cpu_rgb_in,126x95x3,float64,35910,35910,0,0,0,6.0354759362193655e-05,0.9178863712963815,0.1546780769418551,0.21440573725741044,0,0,0,0
IMG_2972,cpu_rgb_pre,126x95x3,float64,35910,35910,0,0,0,6.0354759362193655e-05,0.9178863712963815,0.1546780769418551,0.21440573725741044,0,0,0,0
IMG_2972,cpu_log_e_film,126x95x3,float64,35910,35910,0,0,0,-3.543108276480839,0.7559568702278255,-0.6966481511446889,0.8364018059627634,24908,0,24908,0
IMG_2972,cpu_cmy_film,126x95x3,float64,35910,35910,0,0,0,0.0,1.3144840811121477,0.4270500878701598,0.3828612631498902,0,3594,2,3594
IMG_2972,cpu_log_e_print,126x95x3,float64,35910,35910,0,0,0,-0.4578526382957996,0.8617350489522027,0.3574684191997805,0.419722469635586,10748,0,10748,0
IMG_2972,cpu_cmy_print,126x95x3,float64,35910,35910,0,0,0,0.04233459752950738,2.46714949499758,1.3973731323559906,0.8343365234055921,0,23421,0,23421
IMG_2972,cpu_rgb_out,126x95x3,float64,35910,35910,0,0,0,0.003646253469223144,0.8837052778700454,0.2757303230299142,0.27854374563540424,0,0,0,0
IMG_2972,cpu_materialized_rgb_out,126x95x3,float64,35910,35910,0,0,0,0.003646253469223144,0.8837052778700454,0.2757303230299142,0.27854374563540424,0,0,0,0
IMG_2972,mlx_rgb_in,126x95x3,float32,35910,35910,0,0,0,6.0354759625624865e-05,0.9178863763809204,0.1546780914068222,0.21440574526786804,0,0,0,0
IMG_2972,mlx_rgb_pre,126x95x3,float32,35910,35910,0,0,0,6.0354759625624865e-05,0.9178863763809204,0.1546780914068222,0.21440574526786804,0,0,0,0
IMG_2972,mlx_log_e_film,126x95x3,float32,35910,35910,0,0,0,-3.5431082248687744,0.755956768989563,-0.696648120880127,0.8364018201828003,24908,0,24908,0
IMG_2972,mlx_cmy_film,126x95x3,float32,35910,35910,0,0,0,0.0,1.3144840002059937,0.4270501136779785,0.38286128640174866,0,3594,2,3594
IMG_2972,mlx_log_e_print,126x95x3,float32,35910,35910,0,0,0,-0.4578511416912079,0.8617491722106934,0.35747119784355164,0.4197251796722412,10748,0,10748,0
