sample_id,stage,cpu_shape,candidate_shape,cpu_dtype,candidate_dtype,status,abs_p50,abs_p90,abs_p95,abs_p99,abs_p999,abs_max,rel_p50,rel_p90,rel_p95,rel_p99,rel_p999,rel_max,abs_ev_p50,abs_ev_p90,abs_ev_p95,abs_ev_p99,abs_ev_p999,abs_ev_max,mae,rmse,max_signed_error,min_signed_error,luma_abs_p50,luma_abs_p90,luma_abs_p95,luma_abs_p99,luma_abs_p999,luma_abs_max,psnr,ssim,deltaE2000_mean,deltaE2000_p95,deltaE2000_max
IMG_9333,cmy_print,95x126x3,95x126x3,float64,float32,ok,1.988344143777354e-06,5.336634852182167e-06,9.899461180104526e-06,1.9998502874634014e-05,2.8884823775886084e-05,3.972120841155835e-05,9.96802883049191e-07,3.4171495089793957e-06,9.767191864601894e-06,2.4166603491792084e-05,3.633957363308005e-05,5.157565901514857e-05,1.4380818527579673e-06,4.929896200609771e-06,1.4091072195351583e-05,3.486545955255526e-05,5.242613907285472e-05,7.440601920693732e-05,2.752682214063462e-06,4.683593693465134e-06,3.972120841155835e-05,-3.719984140038157e-05,2.866853696881222e-06,5.014116905743826e-06,7.451746341405324e-06,1.3262109143951089e-05,1.7733119852713797e-05,2.2483693958408324e-05,114.04469170152359,0.9999999998921497,0.00010352439411199835,0.0009790239853597214,0.0035317264445329675
IMG_9333,rgb_out,95x126x3,95x126x3,float64,float32,ok,2.539942136031703e-06,8.693247731078603e-06,9.003447162693467e-06,1.768528186149582e-05,4.281648923135251e-05,6.775319770513377e-05,3.844764277427778e-05,0.00012165805277560267,0.00012580456348918918,0.0001312693404888988,0.0001525544753610892,0.0002229614458326434,5.5469280575832594e-05,0.0001755047688335609,0.00018148617820114068,0.0001893691705305642,0.0002200727714169246,0.0003216294712273952,3.727521543079227e-06,5.632508525742896e-06,6.775319770513377e-05,-4.964436559551366e-05,2.585696428809847e-07,3.037256785524967e-06,3.8858873866672715e-06,8.925103746925103e-06,1.4201412466124349e-05,1.541305813618221e-05,104.98596284452722,0.9999999962067779,0.0013054347883406303,0.002339406890158148,0.016562012015213297
IMG_9333,materialized_rgb_out,95x126x3,95x126x3,float64,float32,ok,2.539942136031703e-06,8.693247731078603e-06,9.003447162693467e-06,1.768528186149582e-05,4.281648923135251e-05,6.775319770513377e-05,3.844764277427778e-05,0.00012165805277560267,0.00012580456348918918,0.0001312693404888988,0.0001525544753610892,0.0002229614458326434,5.5469280575832594e-05,0.0001755047688335609,0.00018148617820114068,0.0001893691705305642,0.0002200727714169246,0.0003216294712273952,3.727521543079227e-06,5.632508525742896e-06,6.775319770513377e-05,-4.964436559551366e-05,2.585696428809847e-07,3.037256785524967e-06,3.8858873866672715e-06,8.925103746925103e-06,1.4201412466124349e-05,1.541305813618221e-05,104.98596284452722,0.9999999962067779,0.0013054347883406303,0.002339406890158148,0.016562012015213297
IMG_9333,export_png16_roundtrip,95x126x3,95x126x3,float32,float32,ok,0.0,1.52587890625e-05,1.52587890625e-05,1.5266239643096924e-05,4.57763671875e-05,7.62939453125e-05,0.0,0.00021871931935573064,0.00021972857941396414,0.0003916900507667027,0.0004004744683838313,0.0004007954851014846,0.0,0.00031551072926753684,0.0003169664641981776,0.0005651998475269955,0.0005778780983100692,0.0005783414129133554,3.7308330034286786e-06,7.89451391012153e-06,7.62939453125e-05,-4.57763671875e-05,3.2440185546850353e-06,9.732055664074535e-06,1.0913085937501454e-05,1.3055419921820799e-05,1.7401123046824674e-05,2.5070190429743455e-05,102.05349211400298,0.9999999707673825,0.0014549098363969665,0.003752996206400909,0.01915216830665202
IMG_2972,rgb_in,126x95x3,126x95x3,float64,float32,ok,5.275866618581482e-10,1.1793359588896381e-08,1.6983891265587303e-08,2.7086335004922157e-08,2.9578964241827604e-08,2.979248747703167e-08,2.1044535431074365e-08,4.04667854782282e-08,4.5338756348562516e-08,5.3138290941345495e-08,5.724853267359602e-08,5.955965093935863e-08,3.0360834674081296e-08,5.8381205579038904e-08,6.540998014468529e-08,7.666211877176999e-08,8.259128366136815e-08,8.592641215389125e-08,3.3972578715953726e-09,6.845240709597664e-09,2.978504343165156e-08,-2.979248747703167e-08,4.205912944310608e-10,8.489143599188511e-09,1.2698999346527624e-08,2.100981185804151e-08,2.5951165807059118e-08,2.830096990091846e-08,163.29222551009738,0.999999999999987,1.0230683033466627e-06,4.795490044952363e-06,1.2176591231402376e-05
IMG_2972,rgb_pre,126x95x3,126x95x3,float64,float32,ok,5.275866618581482e-10,1.1793359588896381e-08,1.6983891265587303e-08,2.7086335004922157e-08,2.9578964241827604e-08,2.979248747703167e-08,2.1044535431074365e-08,4.04667854782282e-08,4.5338756348562516e-08,5.3138290941345495e-08,5.724853267359602e-08,5.955965093935863e-08,3.0360834674081296e-08,5.8381205579038904e-08,6.540998014468529e-08,7.666211877176999e-08,8.259128366136815e-08,8.592641215389125e-08,3.3972578715953726e-09,6.845240709597664e-09,2.978504343165156e-08,-2.979248747703167e-08,4.205912944310608e-10,8.489143599188511e-09,1.2698999346527624e-08,2.100981185804151e-08,2.5951165807059118e-08,2.830096990091846e-08,163.29222551009738,0.999999999999987,1.0230683033466627e-06,4.795490044952363e-06,1.2176591231402376e-05
IMG_2972,log_e_film,126x95x3,126x95x3,float64,float32,ok,6.879253629243909e-08,1.7704397371476334e-07,2.170985818006342e-07,3.057234759092084e-07,4.1444330216133814e-07,5.551389531399664e-07,8.781969634516093e-08,4.3021701849723055e-07,8.124967106949104e-07,3.906567887423152e-06,3.6234645586606024e-05,0.0021002888082049614,0.0,4.363481644833425e-07,7.617709172100148e-07,3.0945913730181336e-06,2.4922883811914916e-05,0.003026309359059686,8.444216547919454e-08,1.0863475570315771e-07,5.067998558594411e-07,-5.551389531399664e-07,4.1040941839431966e-08,1.0193638845107378e-07,1.2079321302094212e-07,1.6376800492490238e-07,2.193735553479577e-07,2.60436882726367e-07,145.52491344322215,0.9999999999992454,7.353324499703428e-06,3.743379783238278e-05,9.282010937759274e-05
IMG_2972,cmy_film,126x95x3,126x95x3,float64,float32,ok,3.889049718375226e-08,1.412455060023632e-07,1.7661397750390323e-07,2.534093882322616e-07,3.512524374527094e-07,5.398029945258287e-07,1.5997124780001478e-07,6.70335023042877e-07,8.985043746625094e-07,1.4431449378364514e-06,2.1441443575289194e-06,1.7806433792687442e-05,2.307883087768086e-07,9.670878409499974e-07,1.29626691396228e-06,2.0820146869013217e-06,3.093332088863061e-06,2.56857043058068e-05,5.7641129060607945e-08,8.259871678297186e-08,5.398029945258287e-07,-4.107487947546673e-07,2.682438589307612e-08,9.390702511713479e-08,1.1721328897484883e-07,1.6122941211449406e-07,2.220280813254329e-07,2.9319469008193266e-07,142.97020009045002,0.9999999999989274,1.2790383314797676e-05,3.600066609576008e-05,9.018337346495972e-05
IMG_2972,log_e_print,126x95x3,126x95x3,float64,float32,ok,3.297404421759298e-06,1.4946069152210751e-05,1.9894493233379994e-05,2.131456815867905e-05,2.1744365694693515e-05,2.2900229994959886e-05,8.540902736766185e-06,3.0125110954504425e-05,5.791279477538971e-05,0.00026295561768106997,0.004257475543744809,0.2349964499347695,2.350075698830449e-06,3.528116630457723e-05,3.881285774062876e-05,0.00021854830415466244,0.0036753119394900982,0.30436366537888443,5.008424118550915e-06,7.59123631486944e-06,2.2900229994959886e-05,-1.7167084403579835e-05,3.2677075861575755e-06,1.5063621593114362e-05,1.5406535131334828e-05,1.6337518082367716e-05,1.771299475076944e-05,1.9112576477131604e-05,102.75087331716507,0.999999998200885,0.0008387612752834186,0.001876235931465489,0.003806499807914962
IMG_2972,cmy_print,126x95x3,126x95x3,float64,float32,ok,2.750102235937746e-06,1.0184659215006778e-05,1.5476937308156457e-05,2.5161041591010765e-05,3.4661725409386835e-05,3.7185890351398854e-05,1.9382935743897532e-06,2.510707524635585e-05,3.195144637843326e-05,4.1430632173741044e-05,4.479781205995458e-05,5.2550971249050264e-05,2.796366394393825e-06,3.622221632155088e-05,4.6096927138398336e-05,5.977052601199026e-05,6.462839401676322e-05,7.581302788091219e-05,4.130292205919259e-06,6.669739839147617e-06,3.6089164483055214e-05,-3.7185890351398854e-05,3.2344314141452557e-06,7.91183982803423e-06,1.123211862382733e-05,1.604531385643867e-05,2.0295907664145357e-05,2.3165935654434477e-05,108.55162089777463,0.999999999146258,0.0004646424787828685,0.001818220696111271,0.007065887388107939
IMG_2972,rgb_out,126x95x3,126x95x3,float64,float32,ok,3.2981367017737018e-06,1.3805458997395719e-05,2.4420444679995564e-05,4.170841343021912e-05,6.993192478465732e-05,0.00010689376567496467,2.281715238616654e-05,0.00010471437263782667,0.00012060930093813259,0.0001565391702065716,0.0010333794356836676,0.002423023534993218,3.291856418110511e-05,0.00015106297612636418,0.0001739919230185746,0.0002258205813054757,0.0014902231745521162,0.0034914534947483654,6.300581950701747e-06,1.046612277708952e-05,9.474134997411454e-05,-0.00010689376567496467,1.4644707408972835e-06,1.0305809150423785e-05,1.2625951635419904e-05,1.5349159043218646e-05,2.719605594556145e-05,3.737354758137634e-05,99.6042834979853,0.999999986436137,0.0017604480276608328,0.004515370634119567,0.019646294320114208
IMG_2972,materialized_rgb_out,126x95x3,126x95x3,float64,float32,ok,3.2981367017737018e-06,1.3805458997395719e-05,2.4420444679995564e-05,4.170841343021912e-05,6.993192478465732e-05,0.00010689376567496467,2.281715238616654e-05,0.00010471437263782667,0.00012060930093813259,0.0001565391702065716,0.0010333794356836676,0.002423023534993218,3.291856418110511e-05,0.00015106297612636418,0.0001739919230185746,0.0002258205813054757,0.0014902231745521162,0.0034914534947483654,6.300581950701747e-06,1.046612277708952e-05,9.474134997411454e-05,-0.00010689376567496467,1.4644707408972835e-06,1.0305809150423785e-05,1.2625951635419904e-05,1.5349159043218646e-05,2.719605594556145e-05,3.737354758137634e-05,99.6042834979853,0.999999986436137,0.0017604480276608328,0.004515370634119567,0.019646294320114208
