path,relative_path,folder,name,extension,size_bytes,size_mb,mtime
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0350_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0350_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0350_converted.DNG,.dng,18145740,17.305,1773497088
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0351_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0351_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0351_converted.DNG,.dng,16200106,15.45,1773497089
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0352_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0352_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0352_converted.DNG,.dng,14099628,13.446,1773497089
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0353_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0353_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0353_converted.DNG,.dng,7685300,7.329,1773497089
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0354_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0354_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0354_converted.DNG,.dng,14125504,13.471,1773497089
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0355_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0355_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0355_converted.DNG,.dng,14436586,13.768,1773497089
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0380_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0380_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0380_converted.DNG,.dng,43911374,41.877,1773497093
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0381_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0381_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0381_converted.DNG,.dng,40023470,38.169,1773497093
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0382_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0382_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0382_converted.DNG,.dng,14370750,13.705,1773497091
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0383_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0383_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0383_converted.DNG,.dng,16098344,15.353,1773497093
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0384_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0384_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0384_converted.DNG,.dng,13939830,13.294,1773497092
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0425_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0425_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0425_converted.DNG,.dng,18491752,17.635,1773497093
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0426_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0426_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0426_converted.DNG,.dng,14471652,13.801,1773497093
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0427_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0427_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0427_converted.DNG,.dng,16729240,15.954,1773497093
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0428_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0428_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0428_converted.DNG,.dng,19699880,18.787,1773497093
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0429_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0429_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0429_converted.DNG,.dng,18868680,17.995,1773497094
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0430_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0430_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0430_converted.DNG,.dng,16833200,16.053,1773497095
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0431_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0431_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0431_converted.DNG,.dng,18455040,17.6,1773497096
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0432_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0432_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0432_converted.DNG,.dng,17082804,16.291,1773497096
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0434_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0434_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0434_converted.DNG,.dng,14390622,13.724,1773497096
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0435_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0435_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0435_converted.DNG,.dng,17842598,17.016,1773497096
